Product Name,Year Month,Warehouse Inventory,Inventory Cost Per Unit,Product Category,Product Department,Storage Cost
"GolfBuddy VT3 GPS Watch",2017-03-01 00:00:00.000,0,0.60374,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2017-03-01 00:00:00.000,0,1.7738,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2017-03-01 00:00:00.000,0,2.09296,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2017-03-01 00:00:00.000,0,1.35533,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2017-02-01 00:00:00.000,0,1.33353,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2017-02-01 00:00:00.000,0,1.25235,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2017-02-01 00:00:00.000,0,1.12731,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2017-02-01 00:00:00.000,0,2.18426,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2017-02-01 00:00:00.000,0,0.53505,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2017-02-01 00:00:00.000,0,1.20023,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2017-01-01 00:00:00.000,0,2.07271,"Kids' Golf Clubs","Outdoors",0
"Fitbit The One Wireless Activity & Sleep Trac",2017-01-01 00:00:00.000,0,2.11812,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2017-01-01 00:00:00.000,0,1.30941,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2017-01-01 00:00:00.000,0,0.81297,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2017-01-01 00:00:00.000,0,1.64528,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2017-01-01 00:00:00.000,0,1.3972,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2016-12-01 00:00:00.000,0,1.66417,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2016-12-01 00:00:00.000,0,0.61231,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2016-12-01 00:00:00.000,0,0.95359,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2016-12-01 00:00:00.000,0,1.39702,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2016-12-01 00:00:00.000,0,1.89665,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2016-12-01 00:00:00.000,0,0.65336,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2016-11-01 00:00:00.000,0,2.20486,"Kids' Golf Clubs","Outdoors",0
"Fitbit The One Wireless Activity & Sleep Trac",2016-11-01 00:00:00.000,0,0.64978,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2016-11-01 00:00:00.000,0,2.23347,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2016-11-01 00:00:00.000,0,0.82302,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2016-11-01 00:00:00.000,0,1.43924,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2016-11-01 00:00:00.000,0,2.19285,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2016-11-01 00:00:00.000,0,0.2422,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2016-10-01 00:00:00.000,0,0.52138,"Kids' Golf Clubs","Outdoors",0
"Fitbit The One Wireless Activity & Sleep Trac",2016-10-01 00:00:00.000,0,0.88078,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2016-10-01 00:00:00.000,0,1.20151,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2016-10-01 00:00:00.000,0,0.29201,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2016-10-01 00:00:00.000,0,0.10417,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2016-10-01 00:00:00.000,0,0.51667,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2016-10-01 00:00:00.000,0,1.00966,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2016-09-01 00:00:00.000,0,1.89749,"Kids' Golf Clubs","Outdoors",0
"Fitbit The One Wireless Activity & Sleep Trac",2016-09-01 00:00:00.000,0,2.3263,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2016-09-01 00:00:00.000,0,0.40207,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2016-09-01 00:00:00.000,0,1.17887,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2016-09-01 00:00:00.000,0,1.75395,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2016-09-01 00:00:00.000,0,0.98753,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2016-09-01 00:00:00.000,0,1.4697,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2016-08-01 00:00:00.000,0,0.73569,"Kids' Golf Clubs","Outdoors",0
"Fitbit The One Wireless Activity & Sleep Trac",2016-08-01 00:00:00.000,0,1.72743,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2016-08-01 00:00:00.000,0,1.28221,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2016-08-01 00:00:00.000,0,2.16802,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2016-08-01 00:00:00.000,0,0.30709,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2016-08-01 00:00:00.000,0,1.89949,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2016-08-01 00:00:00.000,0,1.1891,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2016-07-01 00:00:00.000,0,1.12508,"Kids' Golf Clubs","Outdoors",0
"Fitbit The One Wireless Activity & Sleep Trac",2016-07-01 00:00:00.000,0,0.95751,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2016-07-01 00:00:00.000,0,0.78413,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2016-07-01 00:00:00.000,0,1.14973,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2016-07-01 00:00:00.000,0,1.14226,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2016-07-01 00:00:00.000,0,0.97797,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2016-07-01 00:00:00.000,0,1.46434,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2016-06-01 00:00:00.000,0,0.98266,"Kids' Golf Clubs","Outdoors",0
"Fitbit The One Wireless Activity & Sleep Trac",2016-06-01 00:00:00.000,0,1.34924,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2016-06-01 00:00:00.000,0,0.80054,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2016-06-01 00:00:00.000,0,1.2083,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2016-06-01 00:00:00.000,0,1.87077,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2016-06-01 00:00:00.000,0,1.34553,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2016-06-01 00:00:00.000,0,1.43029,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2016-05-01 00:00:00.000,0,1.30349,"Kids' Golf Clubs","Outdoors",0
"Fitbit The One Wireless Activity & Sleep Trac",2016-05-01 00:00:00.000,0,1.96366,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2016-05-01 00:00:00.000,0,0.32252,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2016-05-01 00:00:00.000,0,0.79572,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2016-05-01 00:00:00.000,0,1.59848,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2016-05-01 00:00:00.000,0,1.62302,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2016-05-01 00:00:00.000,0,1.14273,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2016-04-01 00:00:00.000,0,1.50728,"Kids' Golf Clubs","Outdoors",0
"Fitbit The One Wireless Activity & Sleep Trac",2016-04-01 00:00:00.000,0,1.34064,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2016-04-01 00:00:00.000,0,2.08587,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2016-04-01 00:00:00.000,0,1.33665,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2016-04-01 00:00:00.000,0,2.10973,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2016-04-01 00:00:00.000,0,1.8832,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2016-04-01 00:00:00.000,0,1.74491,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2016-03-01 00:00:00.000,0,0.65596,"Kids' Golf Clubs","Outdoors",0
"Fitbit The One Wireless Activity & Sleep Trac",2016-03-01 00:00:00.000,0,0.16466,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2016-03-01 00:00:00.000,0,0.60926,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2016-03-01 00:00:00.000,0,1.92541,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2016-03-01 00:00:00.000,0,2.32321,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2016-03-01 00:00:00.000,0,2.17864,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2016-03-01 00:00:00.000,0,0.41836,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2016-02-01 00:00:00.000,0,0.14987,"Kids' Golf Clubs","Outdoors",0
"Fitbit The One Wireless Activity & Sleep Trac",2016-02-01 00:00:00.000,0,0.29302,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2016-02-01 00:00:00.000,0,1.42343,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2016-02-01 00:00:00.000,0,0.71842,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2016-02-01 00:00:00.000,0,0.13035,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2016-02-01 00:00:00.000,0,1.60072,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2016-02-01 00:00:00.000,0,0.54599,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2016-01-01 00:00:00.000,0,0.96956,"Kids' Golf Clubs","Outdoors",0
"Fitbit The One Wireless Activity & Sleep Trac",2016-01-01 00:00:00.000,0,2.32761,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2016-01-01 00:00:00.000,0,0.26131,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2016-01-01 00:00:00.000,0,1.47388,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2016-01-01 00:00:00.000,0,0.19908,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2016-01-01 00:00:00.000,0,2.02961,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2016-01-01 00:00:00.000,0,0.37351,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2015-12-01 00:00:00.000,0,1.52282,"Kids' Golf Clubs","Outdoors",0
"Fitbit The One Wireless Activity & Sleep Trac",2015-12-01 00:00:00.000,0,0.84321,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2015-12-01 00:00:00.000,0,0.12248,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2015-12-01 00:00:00.000,0,2.174,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2015-12-01 00:00:00.000,0,0.15229,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2015-12-01 00:00:00.000,0,1.49732,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2015-12-01 00:00:00.000,0,0.3439,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2015-11-01 00:00:00.000,0,1.08232,"Kids' Golf Clubs","Outdoors",0
"Fitbit The One Wireless Activity & Sleep Trac",2015-11-01 00:00:00.000,0,1.18041,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2015-11-01 00:00:00.000,0,1.27922,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2015-11-01 00:00:00.000,0,1.65147,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2015-11-01 00:00:00.000,0,1.92618,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2015-11-01 00:00:00.000,0,0.89382,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2015-11-01 00:00:00.000,0,1.35644,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2015-10-01 00:00:00.000,0,0.11093,"Kids' Golf Clubs","Outdoors",0
"Fitbit The One Wireless Activity & Sleep Trac",2015-10-01 00:00:00.000,0,1.42397,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2015-10-01 00:00:00.000,0,1.89365,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2015-10-01 00:00:00.000,0,1.16963,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2015-10-01 00:00:00.000,0,2.11123,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2015-10-01 00:00:00.000,0,0.48465,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2015-10-01 00:00:00.000,0,0.30024,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2015-09-01 00:00:00.000,0,0.15832,"Kids' Golf Clubs","Outdoors",0
"Fitbit The One Wireless Activity & Sleep Trac",2015-09-01 00:00:00.000,0,1.7858,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2015-09-01 00:00:00.000,0,1.91258,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2015-09-01 00:00:00.000,0,1.10195,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2015-09-01 00:00:00.000,0,1.78416,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2015-09-01 00:00:00.000,0,1.26058,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2015-09-01 00:00:00.000,0,1.42562,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2015-08-01 00:00:00.000,0,0.24656,"Kids' Golf Clubs","Outdoors",0
"Fitbit The One Wireless Activity & Sleep Trac",2015-08-01 00:00:00.000,0,0.69959,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2015-08-01 00:00:00.000,0,2.25045,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2015-08-01 00:00:00.000,0,1.93732,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2015-08-01 00:00:00.000,0,0.17395,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2015-08-01 00:00:00.000,0,0.42839,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2015-07-01 00:00:00.000,0,1.38198,"Kids' Golf Clubs","Outdoors",0
"Fitbit The One Wireless Activity & Sleep Trac",2015-07-01 00:00:00.000,0,0.23288,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2015-07-01 00:00:00.000,0,0.72136,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2015-07-01 00:00:00.000,0,0.93084,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2015-07-01 00:00:00.000,0,1.37405,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2015-07-01 00:00:00.000,0,2.04534,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2015-07-01 00:00:00.000,0,0.16571,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2015-06-01 00:00:00.000,0,1.6249,"Kids' Golf Clubs","Outdoors",0
"Fitbit The One Wireless Activity & Sleep Trac",2015-06-01 00:00:00.000,0,2.17907,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2015-06-01 00:00:00.000,0,2.1669,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2015-06-01 00:00:00.000,0,2.31784,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2015-06-01 00:00:00.000,0,0.87722,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2015-06-01 00:00:00.000,0,1.66793,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2015-06-01 00:00:00.000,0,1.42422,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2015-05-01 00:00:00.000,0,1.61969,"Kids' Golf Clubs","Outdoors",0
"Fitbit The One Wireless Activity & Sleep Trac",2015-05-01 00:00:00.000,0,0.50914,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2015-05-01 00:00:00.000,0,0.38478,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2015-05-01 00:00:00.000,0,0.61387,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2015-05-01 00:00:00.000,0,1.42787,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2015-05-01 00:00:00.000,0,0.26262,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2015-05-01 00:00:00.000,0,1.35081,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2015-04-01 00:00:00.000,0,0.35688,"Kids' Golf Clubs","Outdoors",0
"Fitbit The One Wireless Activity & Sleep Trac",2015-04-01 00:00:00.000,0,0.18578,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2015-04-01 00:00:00.000,0,1.7233,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2015-04-01 00:00:00.000,0,0.47005,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2015-04-01 00:00:00.000,0,1.56565,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2015-04-01 00:00:00.000,0,2.21955,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2015-04-01 00:00:00.000,0,0.45409,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2015-03-01 00:00:00.000,0,1.15304,"Kids' Golf Clubs","Outdoors",0
"Fitbit The One Wireless Activity & Sleep Trac",2015-03-01 00:00:00.000,0,0.39234,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2015-03-01 00:00:00.000,0,0.51464,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2015-03-01 00:00:00.000,0,2.14885,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2015-03-01 00:00:00.000,0,0.30236,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2015-03-01 00:00:00.000,0,0.16453,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2015-03-01 00:00:00.000,0,0.37772,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2015-02-01 00:00:00.000,0,2.28111,"Kids' Golf Clubs","Outdoors",0
"Fitbit The One Wireless Activity & Sleep Trac",2015-02-01 00:00:00.000,0,2.1071,"Kids' Golf Clubs","Outdoors",0
"Mio ALPHA Heart Rate Monitor/Sport Watch",2015-02-01 00:00:00.000,0,1.24098,"Kids' Golf Clubs","Outdoors",0
"GolfBuddy VT3 GPS Watch",2015-02-01 00:00:00.000,0,1.8034,"Kids' Golf Clubs","Outdoors",0
"Polar Loop Activity Tracker",2015-02-01 00:00:00.000,0,1.62541,"Kids' Golf Clubs","Outdoors",0
"Garmin Approach S4 Golf GPS Watch",2015-02-01 00:00:00.000,0,1.47833,"Kids' Golf Clubs","Outdoors",0
"Garmin Forerunner 910XT GPS Watch",2015-02-01 00:00:00.000,0,0.58898,"Kids' Golf Clubs","Outdoors",0
"Polar FT4 Heart Rate Monitor",2015-01-01 00:00:00.000,0,0.54625,"Kids' Golf Clubs","Outdoors",0
